id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
20110014,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0,4.57
20090016,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.87,1.96,0.22,0,4.53
2004009,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0,4.53
20070019,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,0,4.53
1981000,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.00,0,4.50
20060010,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,1,4.49
2015006,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0,4.48
2002007,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0,4.48
2000004,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.20,0.14,4.10,0,4.47
2016003,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.00,0.15,1,4.46
2005008,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0,4.45
2015007,Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0,4.43
20120013,Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0,4.42
20010010,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0,4.41
20060011,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.10,2.39,1.05,1,4.39
20060012,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0,4.38
1987000,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.50,1.61,0,4.38
2005009,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0,4.37
20100019,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0,4.36
20140012,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.56,1.93,0.19,1,4.36
20060013,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,1,4.34
